"Reference","Value","Qty","LCSC"
"C1,C2,C4,C5,C7,C8,C17","100nF","7","C49678"
"C3","1nF","1","C94121"
"C6","10nF","1","C1710"
"C9","2.2nF","1","C28260"
"C10,C11,C12","1uF","3","C28323"
"C18,C19","47uF","2","C131173"
"J1","ALE","1","C42431836"
"J2","ELE","1","C42431836"
"J3","VCC","1",""
"J4","FTDI","1","C160391"
"J5","GND","1",""
"J6","THR","1","C42431836"
"J7","PPM","1","C42431836"
"J8","GPS","1","C160390"
"J9","ESC+","1",""
"J10","ESC-","1",""
"J11","CAM","1","C42431836"
"J12","VTX","1","C42431836"
"J15","ESC_PWM","1","C7501607"
"J17","BEC","1","C42431798"
"R1","10K","1","C84376"
"R2","240","1","C17572"
"R4","47K","1","C17713"
"R5","33K","1","C2933415"
"R7,R8","4.7K","2","C17673"
"R9,R10","75","2","C2974040"
"R11","750","1","C114546"
"U1","ATmega328","1","C618731"
"U2","MPU-6050","1","C24112"
"U3","XC6206","1","C3015484"
"U4","LM317","1","C68487"
"U6","AT7456","1","C82351"
"Y1","16Mhz","1","C882606"
"Y3","27Mhz","1","C5444552"
